Run	Experiment	Replicate	Sample
SRR5210844	SRX2524298	ZT4_rep1	ZT4
SRR5210845	SRX2524298	ZT4_rep1	ZT4
SRR5210846	SRX2524298	ZT4_rep1	ZT4
SRR5210847	SRX2524299	ZT8_rep1	ZT8
SRR5210848	SRX2524299	ZT8_rep1	ZT8
SRR5210849	SRX2524299	ZT8_rep1	ZT8
SRR5210880	SRX2524310	ZT4_rep2	ZT4
SRR5210881	SRX2524310	ZT4_rep2	ZT4
SRR5210882	SRX2524310	ZT4_rep2	ZT4
SRR5210883	SRX2524311	ZT8_rep2	ZT8
SRR5210884	SRX2524311	ZT8_rep2	ZT8
SRR5210885	SRX2524311	ZT8_rep2	ZT8
SRR5210916	SRX2524322	ZT4_rep3	ZT4
SRR5210917	SRX2524322	ZT4_rep3	ZT4
SRR5210918	SRX2524322	ZT4_rep3	ZT4
SRR5210919	SRX2524323	ZT8_rep3	ZT8
SRR5210920	SRX2524323	ZT8_rep3	ZT8
SRR5210921	SRX2524323	ZT8_rep3	ZT8
